state,population,electoral_college_votes,democratic_votes,republican_votes,other_votes
Alabama,4858979,9,718084,1306925,53005
Alaska,738432,3,92013,129786,22947
Arizona,6828065,11,864438,947824,95212
Arkansas,2978204,6,378729,677904,65051
California,39144818,55,5481885,2965704,471928
Colorado,5456574,9,1126384,1075770,199113
Connecticut,3590886,7,823360,637919,67537
Delaware,945934,3,235581,185103,20851
Florida, 20271272,29,4485745,4605515,295490
Georgia,10214860,16,1837300,2068623,124712
Hawaii,1431603,4,251853,121648,33183
Idaho,1654930,4,189677,407199,91359
Illinois,12859995,20,2976534,2117479,278510
Indiana,6619680,11,1029127,1554959,133618
Iowa,3123899,6,650790,798923,93167
Kansas,2911641,6,414592,655920,76104
Kentucky,4425092,8,628834,1202942,91628
Louisiana,4670724,8,799535,1178004,70192
Maine,1329328,4,350832,330072,51007
Maryland,6006401,10,1497951,873646,102946
Massachusetts,6794422,11,1964433,1082521,183619
Michigan,9922576,16,2267373,2279210,242755
Minnesota,5489594,10,1363745,1321017,226533
Mississippi,2992333,6,462139,677897,22522
Missouri,6083672,10,1054889,1585753,134456
Montana,1032949,3,166985,266245,33370
Nebraska,1896190,5,273858,485819,45961
Nevada,2890845,6,537753,511319,73918
New Hampshire,1330608,4,346816,345379,37267
New Jersey,8958013,14,1964947,1502794,114695
New Mexico,2085109,5,380724,315875,92242
New York,19795791,29,4142719,2635300,261631
North Carolina,10042802,15,2162074,2359603,127794
North Dakota,756927,3,93526,216133,27309
Ohio,11613423,18,2317001,2771984,236410
Oklahoma,3911338,7,419788,947934,83334
Oregon,4028977,7,919591,725090,127869
Pennsylvania,12802503,20,2844705,2912941,212461
Rhode Island,1056298,4,225445,165810,19751
South Carolina,4896146,9,849469,1143611,91364
South Dakota,858469,3,117442,227701,24904
Tennessee,6600299,11,865693,1515242,100104
Texas,27469114,38,3852923,4677115,353234
Utah,2995919,6,217820,360634,199535
Vermont,626042,3,178072,95025,18169
Virginia,8382993,13,1916845,1731155,196759
Washington,7170351,12,1118772,750719,117723
Washington DC,672228,3,260223,11553,8496
West Virginia,1844128,5,187457,486198,34571
Wisconsin,5771337,10,1382210,1409467,152943
Wyoming,586107,3,55949,174248,18545